time,ShortWave,AirTemp,RelHum,WindSpeed,Cloud,Rain,Snow
2019-03-16,50.3,10.7,77.38,6.9,0.84,0,0
2019-03-17,55.4,7.9,79,7,0.69,0.003,0
2019-03-18,105.3,5,78.29,4.5,0.48,0,0
2019-03-19,182.6,3.7,72.67,1.5,0.19,0,0
2019-03-20,196.5,4.2,69.42,1.4,0.35,0,0
2019-03-21,202.1,7.2,61.79,2.1,0.5,0,0
2019-03-22,201.9,9.3,62.75,2.1,0.34,0,0
2019-03-23,196.3,9.2,70.08,2.6,0.43,0,0
2019-03-24,104.8,7.3,78.21,3.2,0.44,0,0
2019-03-25,97.2,4.5,79.08,4.7,0.63,0.002,0
2019-03-26,91.1,4.6,78.13,3.1,0.64,0,0
2019-03-27,108.6,5.4,74.13,1.1,0.53,0,0
2019-03-28,121.2,7.3,73.92,2.4,0.6,0,0
2019-03-29,195.7,8.8,73.08,2.5,0.16,0,0
2019-03-30,195.7,10,66.58,2.3,0.19,0,0
2019-03-31,183.1,10.9,63.25,4,0.26,0,0
2019-04-01,216.6,10.7,62.25,3.7,0.09,0,0
2019-04-02,145.9,13,59.21,3.7,0.74,0,0
2019-04-03,61.1,8.5,84.42,3.1,0.99,0.008,0
2019-04-04,61.7,5.2,94.33,3,0.96,0.002,0
2019-04-05,62.3,6.5,93.08,1.9,0.98,0,0
2019-04-06,145.6,9.6,80.92,2.1,0.76,0,0
2019-04-07,208.7,12.6,66.42,2.2,0.56,0,0
2019-04-08,103.5,12,80.04,3.1,0.85,0,0
2019-04-09,78.3,10.8,86.17,2,0.86,0.011,0
2019-04-10,153.7,9.5,65.75,5.6,0.65,0,0
2019-04-11,247.6,6.8,50.71,5.2,0.09,0,0
2019-04-12,111.7,4.4,56.88,4.5,0.69,0,0
2019-04-13,97.5,3.7,71.92,4.1,0.91,0.004,0
2019-04-14,201.9,5.9,70.33,4.9,0.73,0,0
2019-04-15,244.9,9.9,62.54,3.2,0.19,0,0
2019-04-16,213.9,11.9,56.92,3.3,0.54,0.003,0
2019-04-17,158,12.4,74.5,2.4,0.73,0,0
2019-04-18,251.2,14,54.71,3.6,0.29,0,0
2019-04-19,267,14.4,52.58,3.1,0.06,0,0
2019-04-20,267.5,15.5,49.83,3,0.04,0,0
2019-04-21,269.2,15.1,51.79,2.7,0.1,0,0
2019-04-22,264.5,16.3,43.79,3.9,0.5,0,0
2019-04-23,185.5,15.9,54.88,3.1,0.83,0,0
2019-04-24,222.5,15.9,63.17,3.6,0.55,0.001,0
2019-04-25,183.6,14.5,62.96,3.4,0.51,0.001,0
2019-04-26,76.7,10.2,87.67,4.1,0.84,0.003,0
2019-04-27,131.4,9,90.67,4.2,0.78,0.008,0
2019-04-28,195.6,7.9,77.63,3.3,0.59,0,0
2019-04-29,149.8,8.1,85.67,1.9,0.84,0.002,0
2019-04-30,267.5,12.5,66.25,4.3,0.33,0,0
2019-05-01,270,12,68.79,1.7,0.15,0,0
2019-05-02,222.6,12.4,72.08,3.2,0.7,0,0
2019-05-03,179.4,11,63.54,4.9,0.66,0.002,0
2019-05-04,117.8,5.5,85.25,3.3,0.79,0.004,0
2019-05-05,157.3,5.6,71.71,2.3,0.55,0,0
2019-05-06,156.7,7.1,70.29,3,0.7,0,0
2019-05-07,163.2,9.1,66.58,2,0.84,0,0
2019-05-08,80.2,9.6,88.67,2.7,0.95,0.005,0
2019-05-09,111.2,10.3,93.46,3.2,0.78,0.01,0
2019-05-10,214.3,13,71.79,4.6,0.59,0.018,0
2019-05-11,82.2,9.8,95.58,3.7,0.93,0.01,0
2019-05-12,184.3,8.6,70.92,3.6,0.35,0,0
2019-05-13,309.6,10.3,51.83,5.1,0.18,0,0
2019-05-14,265.2,9.3,56.54,4.7,0.26,0,0
2019-05-15,275.6,9,56.42,4.2,0.35,0,0
2019-05-16,136.8,10.4,69.04,3.7,0.86,0,0
2019-05-17,165.5,13.3,73.96,3,0.79,0,0
2019-05-18,167,15.2,75.29,2.4,0.79,0.001,0
2019-05-19,224.1,15.9,81.58,2,0.76,0.004,0
2019-05-20,128.1,13.6,90.75,4.3,0.81,0.022,0
2019-05-21,84.8,12.3,97.46,6.4,0.96,0.014,0
2019-05-22,194.1,12.6,81.54,3.9,0.64,0,0
2019-05-23,281,13.3,74.13,1.7,0.63,0,0
2019-05-24,268.1,15.9,68.29,1.7,0.79,0,0
2019-05-25,280.3,16.6,66.5,3.3,0.54,0,0
2019-05-26,276.8,16.2,66.33,3.3,0.63,0,0
2019-05-27,113.6,15.3,84.13,3.4,0.84,0.012,0
2019-05-28,174.9,13.8,83.96,3,0.84,0.007,0
2019-05-29,223.3,13.4,72.58,3.1,0.55,0,0
2019-05-30,209.3,15,73.75,3.4,0.7,0,0
2019-05-31,237.1,19.2,70.71,2.4,0.65,0,0
2019-06-01,326.2,20,70.25,1.7,0.6,0,0
2019-06-02,326.3,22.1,63.17,2.8,0.38,0,0
2019-06-03,257.1,20.2,78,2.9,0.48,0.023,0
2019-06-04,302.8,22.4,65.42,2.5,0.39,0.001,0
2019-06-05,286.3,23.1,64.46,2.3,0.39,0.005,0
2019-06-06,112.5,13.8,85.29,4.6,0.76,0.003,0
2019-06-07,216.5,14.7,82,3.6,0.58,0.007,0
2019-06-08,234.2,15.5,61.54,6.8,0.5,0,0
2019-06-09,254.7,17.1,67.58,2.2,0.69,0,0
2019-06-10,153.3,18.3,78.21,3.4,0.86,0.012,0
2019-06-11,129.1,17.1,82.25,2.5,0.85,0,0
2019-06-12,182.1,15.5,87.21,3.5,0.69,0.005,0
2019-06-13,297.9,17.6,68.13,3.4,0.38,0,0
2019-06-14,152.2,17.7,80.75,2,0.66,0,0
2019-06-15,246.6,18.9,75.75,4,0.58,0.006,0
2019-06-16,194.6,17.6,79.04,2.7,0.64,0.001,0
2019-06-17,323.1,19.1,72.92,2.3,0.23,0,0
2019-06-18,283.7,22.2,70.88,2,0.6,0,0
2019-06-19,283.7,22.8,72.04,3.2,0.51,0.004,0
2019-06-20,211.7,19.5,83.29,4.1,0.75,0.005,0
2019-06-21,254.5,19.1,69.13,2.6,0.45,0,0
2019-06-22,230,18.6,74.33,3.8,0.6,0.003,0
2019-06-23,291.8,21.1,74.63,2.7,0.44,0,0
2019-06-24,337.2,23.3,71.5,2.9,0.53,0,0
2019-06-25,307,25.3,69.04,2.3,0.55,0,0
2019-06-26,324.9,27.9,62.92,2.2,0.09,0,0
2019-06-27,318.4,24.5,51.08,5.2,0.09,0,0
2019-06-28,341.9,20.4,58.79,4,0.03,0,0
2019-06-29,341.7,22.4,55.29,2.4,0.01,0,0
2019-06-30,328.6,27,53.5,3.8,0.14,0,0
2019-07-01,214.2,23.9,55.38,3.8,0.65,0,0
2019-07-02,311.6,19.5,53,3.2,0.21,0,0
2019-07-03,336.3,18.6,49.67,3.7,0.23,0,0
2019-07-04,329.3,18.4,51.38,2.6,0.29,0,0
2019-07-05,215.8,20.3,54.46,2.3,0.68,0,0
2019-07-06,244.7,23,47.54,4.4,0.53,0,0
2019-07-07,161.3,17.6,63.5,4.2,0.66,0.003,0
2019-07-08,267.9,14.7,62.5,3.2,0.48,0,0
2019-07-09,226.5,13.6,63.96,2.9,0.58,0,0
2019-07-10,320.3,16.6,55.46,2.4,0.7,0,0
2019-07-11,91.6,16.4,80.08,2.6,0.91,0.007,0
2019-07-12,125.1,16.1,92.63,3.1,0.74,0.017,0
2019-07-13,158.4,16.4,87.17,3.8,0.74,0.007,0
2019-07-14,98.8,16.4,74.75,3.5,0.85,0,0
2019-07-15,185.9,16.5,70.46,3.6,0.73,0,0
2019-07-16,291.3,16.5,69.13,2.3,0.44,0,0
2019-07-17,301.1,18.3,67.38,3.1,0.43,0,0
2019-07-18,212.5,19.6,68.38,2.6,0.83,0,0
2019-07-19,150.8,19.9,74.79,3.1,0.89,0,0
2019-07-20,243,23.4,62.71,3.7,0.69,0,0
2019-07-21,214.5,22.5,61.92,3.1,0.69,0,0
2019-07-22,309.5,22.1,61.63,1.8,0.58,0,0
2019-07-23,319.6,24.9,56.67,2.2,0.39,0,0
2019-07-24,310,27.2,54.04,2.3,0.2,0,0
2019-07-25,298.5,28.5,50.92,2.4,0.16,0,0
2019-07-26,228.3,28.7,45.21,2.7,0.58,0,0
2019-07-27,108.5,23,73.58,2.4,0.81,0.005,0
2019-07-28,108.6,20.5,85,3.6,0.88,0,0
2019-07-29,185.9,20.8,71.67,3,0.63,0,0
2019-07-30,238,22.7,63.33,3.5,0.4,0,0
2019-07-31,213.2,20.5,57.83,4.8,0.5,0,0
2019-08-01,259.1,19.3,58.79,2.5,0.51,0,0
2019-08-02,145.9,18.4,75.5,1.9,0.75,0.003,0
2019-08-03,185.5,18.3,78.42,3.5,0.59,0,0
2019-08-04,254.9,19.8,66.96,2,0.45,0,0
2019-08-05,172.9,21.1,66.67,2.9,0.88,0.001,0
2019-08-06,94.3,19.9,81.21,2.2,0.83,0.013,0
2019-08-07,111.4,19,86.83,3.2,0.84,0,0
2019-08-08,232.7,20.6,70.83,3.4,0.56,0,0
2019-08-09,126,21.3,78.83,1.9,0.71,0.008,0
2019-08-10,154.8,21,72.21,5.6,0.59,0,0
2019-08-11,194,19,69.54,3.5,0.65,0.002,0
2019-08-12,212.6,17,77.08,3.4,0.55,0.004,0
2019-08-13,187.4,16.5,67.58,3.9,0.66,0,0
2019-08-14,199.6,16.7,68.04,2.3,0.58,0,0
2019-08-15,96.4,17.3,78.75,4,0.86,0.004,0
2019-08-16,217.3,17.6,73.58,3.3,0.64,0,0
2019-08-17,75.6,17.9,80.54,3.2,0.95,0.003,0
2019-08-18,143.9,21.3,79.67,5,0.79,0.012,0
2019-08-19,198.4,18.6,71.96,3,0.56,0,0
2019-08-20,72.3,15.6,78.29,1.7,0.84,0,0
2019-08-21,216.6,16.3,70.25,1.5,0.35,0,0
2019-08-22,266.1,17.3,67.08,2.1,0.14,0,0
2019-08-23,264.7,18.9,63.71,2.2,0.05,0,0
2019-08-24,261.8,20.6,65.54,2.2,0.16,0,0
2019-08-25,230.8,22.3,69.33,1.8,0.19,0,0
2019-08-26,214.2,23.4,68.17,1.6,0.13,0,0
2019-08-27,233.5,23.6,69.67,1.7,0.28,0,0
2019-08-28,177.1,23.5,65,2.6,0.73,0,0
2019-08-29,182.5,22.7,70.46,NA,0.51,0,0
2019-08-30,214.7,21.4,68,NA,0.2,0,0
2019-08-31,240.4,23.6,58.63,2.9,0.14,0.001,0
2019-09-01,154.4,19.5,70.33,3.7,0.78,0,0
2019-09-02,229.4,14.3,65.83,2.5,0.28,0,0
2019-09-03,230.9,15.2,61.5,2.6,0.21,0,0
2019-09-04,217,17.7,63.54,3.3,0.29,0,0
2019-09-05,153.3,16.1,66.21,4.1,0.69,0,0
2019-09-06,215.8,12.4,68.13,2.2,0.45,0,0
2019-09-07,61.9,11.6,86,1.7,0.94,0.014,0
2019-09-08,61.7,12.7,92.08,2.3,0.98,0.007,0
2019-09-09,86.3,12,91.38,2.4,0.8,0.001,0
