time,flow,temp
2018-12-07 12:00:00,0.00015,14.8
2018-12-08 12:00:00,0.00015,14.8
2018-12-09 12:00:00,0.00015,14.7
2018-12-10 12:00:00,0.00015,14.7
2018-12-11 12:00:00,0.00015,14.7
2018-12-12 12:00:00,0.00015,14.6
2018-12-13 12:00:00,0.00015,14.6
2018-12-14 12:00:00,0.00015,14.6
2018-12-15 12:00:00,0.00015,14.5
2018-12-16 12:00:00,0.00015,14.5
2018-12-17 12:00:00,0.00015,14.5
2018-12-18 12:00:00,0.00015,14.4
2018-12-19 12:00:00,0.00015,14.4
2018-12-20 12:00:00,0.00015,14.4
2018-12-21 12:00:00,0.00015,14.3
2018-12-22 12:00:00,0.00015,14.3
2018-12-23 12:00:00,0.00015,14.2
2018-12-24 12:00:00,0.00015,14.2
2018-12-25 12:00:00,0.00015,14.2
2018-12-26 12:00:00,0.00016,14.1
2018-12-27 12:00:00,0.00016,14.1
2018-12-28 12:00:00,0.00016,14
2018-12-29 12:00:00,0.00016,14
2018-12-30 12:00:00,0.00016,14
2018-12-31 12:00:00,0.00016,13.9
2019-01-01 12:00:00,0.00016,14.1
2019-01-02 12:00:00,0.00016,14
2019-01-03 12:00:00,0.00016,14
2019-01-04 12:00:00,0.00016,14
2019-01-05 12:00:00,0.00016,13.9
2019-01-06 12:00:00,0.00016,13.9
2019-01-07 12:00:00,0.00016,13.8
2019-01-08 12:00:00,0.00016,13.8
2019-01-09 12:00:00,0.00016,13.7
2019-01-10 12:00:00,0.00016,13.7
2019-01-11 12:00:00,0.00016,13.6
2019-01-12 12:00:00,0.00016,13.6
2019-01-13 12:00:00,0.00016,13.6
2019-01-14 12:00:00,0.00016,13.5
2019-01-15 12:00:00,0.00016,13.5
2019-01-16 12:00:00,0.00016,13.4
2019-01-17 12:00:00,0.00016,13.4
2019-01-18 12:00:00,0.00016,13.3
2019-01-19 12:00:00,0.00016,13.3
2019-01-20 12:00:00,0.00016,13.2
2019-01-21 12:00:00,0.00016,13.2
2019-01-22 12:00:00,0.00016,13.1
2019-01-23 12:00:00,0.00016,13.1
2019-01-24 12:00:00,0.00016,13.1
2019-01-25 12:00:00,0.00016,13
2019-01-26 12:00:00,0.00016,13
2019-01-27 12:00:00,0.00016,12.9
2019-01-28 12:00:00,0.00016,12.9
2019-01-29 12:00:00,0.00016,12.8
2019-01-30 12:00:00,0.00016,12.8
2019-01-31 12:00:00,0.00016,12.7
